task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
0,0,0.4671,13907,10,0,0,794,429,365,0.623717,0.08688708,1.000000
1,1,0.4835,13985,18,0,0,794,383,8,0.609609,0.07100315,0.895000
2,2,0.5368,14112,20,0,0,794,337,25,0.621659,0.06511328,0.523333
3,3,0.4559,14303,20,0,0,794,293,10,0.653333,0.06025047,0.270000
4,4,0.4570,14559,20,0,0,794,275,1,0.649077,0.05563558,0.224000
5,5,0.4974,14867,20,0,0,794,260,3,0.649863,0.05229197,0.175000
6,6,0.4699,15247,20,0,0,794,239,4,0.651717,0.04959314,0.184286
7,7,0.4654,15673,20,0,0,794,214,10,0.670357,0.04835193,0.145000
8,8,0.4606,16152,20,0,0,794,195,0,0.676257,0.04795598,0.112222
9,9,0.4636,16704,20,0,0,794,185,2,0.693108,0.04728906,0.100000
0,0,0.4727,14168,10,0,0,794,414,380,0.624141,0.08711405,1.000000
1,1,0.4729,14242,14,0,0,794,373,3,0.623228,0.07053939,0.835000
2,2,0.4714,14373,20,0,0,794,328,27,0.629283,0.06413942,0.480000
3,3,0.4757,14563,20,0,0,794,302,4,0.632292,0.05930697,0.292500
4,4,0.4740,14820,20,0,0,794,284,2,0.632714,0.05512913,0.272000
5,5,0.5161,15133,20,0,0,794,263,5,0.614253,0.05313434,0.183333
6,6,0.4913,15504,20,0,0,794,238,7,0.614759,0.05095260,0.155714
7,7,0.5077,15931,19,0,0,794,210,13,0.571878,0.04865324,0.155000
8,8,0.5050,16427,20,0,0,794,201,0,0.541414,0.04935337,0.162222
9,9,0.5065,16977,20,0,0,794,186,0,0.506917,0.04796411,0.101000
0,0,0.4685,13972,10,0,0,794,435,359,0.619372,0.08823977,1.000000
1,1,0.4660,14050,18,0,0,794,369,4,0.640585,0.07346789,0.920000
2,2,0.4657,14176,20,0,0,794,329,30,0.639192,0.06875965,0.496667
3,3,0.4721,14368,20,0,0,794,298,4,0.607511,0.06333999,0.262500
4,4,0.4687,14621,20,0,0,794,278,5,0.617829,0.05839058,0.292000
5,5,0.5140,14931,20,0,0,794,263,3,0.632772,0.05705964,0.171667
6,6,0.5166,15310,20,0,0,794,244,9,0.649631,0.05490405,0.158571
7,7,0.5073,15744,20,0,0,794,210,21,0.647390,0.05225438,0.172500
8,8,0.5121,16230,20,0,0,794,204,0,0.659024,0.05148975,0.121111
9,9,0.5075,16780,20,0,0,794,192,0,0.667139,0.05068763,0.100000
0,0,0.4567,14003,10,0,0,794,427,367,0.632187,0.08762829,1.000000
